1	2,123,187	
2	1,2,3,50,58,71,214	
2	2,4,18,30,35,36,61,63,121,130,153,161,163,233,263,284	
3	2,10,16,19,23,25,27,129,194,222	
4	2,5,7,11,13,24,26,44,46,48,54,64,65,72,76,80,98,108,125,126,136,138	
5	4,6,8,12,21,33,75,120,137,170,185	
6	5,43,142,175,177,190,208	
7	4,94,118,149,204	
8	5,9,15,31,49,69,79,92,151,229,253,264,280	
9	8,17,28,96,145,169,174,180,221	
10	3	
11	4,14,122,254	
12	5,20,106,226,237,243	
13	4	
14	11	
15	8	
16	3	
17	9,42,207	
18	2,47,78,241	
19	3,22,211,239	
20	12,29,38,62,262,275,281	
21	5,32,34,66,93,127,189,224,240,260,273,278,282	
22	19,115	
23	3,114,183,252	
24	4	
25	3,84,119,140,157,192,197,200,267	
26	4,37	
27	3	
28	9,67,68,215	
29	20,186,294	
30	2,255,276	
31	8,209	
32	21,39,40,41,45,56,59,88,89,99,105,111,198,202,230,285	
33	5	
34	21	
35	2	
36	2,141	
37	26,246	
38	20,232	
39	32,86	
40	32	
41	32,55,112,124	
42	17	
43	6,60,298	
44	4,167	
45	32,51,85,201,227	
46	4	
47	18,73	
48	4,52,53,107,195	
49	8,131,160	
50	2	
51	45,257	
52	48,277	
53	48,87,100,128,234,261	
54	4,74,81,102	
55	41,57	
56	32,156	
57	55	
58	2,70	
59	32	
60	43	
61	2,83,132,176,244	
62	20,144,158	
63	2,82,249	
64	4,196	
65	4,206	
66	21	
67	28	
68	28	
69	8	
70	58	
71	2	
72	4,77,150,173,235	
73	47,90	
74	54,213	
75	5,97,210,225,272	
76	4	
77	72	
78	18,91,242	
79	8,274	
80	4	
81	54	
82	63,101,147	
83	61,172	
84	25	
85	45,95,165	
86	39,103,139,159	
87	53,117	
88	32	
89	32	
90	73	
91	78,134,188,265	
92	8,155,181	
93	21	
94	7,135	
95	85	
96	9	
97	75,104,146,148,236	
98	4,184,297	
99	32	
100	53,116,154,178	
101	82	
102	54	
103	86	
104	97,290	
105	32,109	
106	12,113	
107	48,110	
108	4,179	
109	105	
110	107	
111	32	
112	41,228,269	
113	106,193,203	
114	23	
115	22,133	
116	100	
117	87	
118	7	
119	25	
120	5,299	
121	2,270	
122	11	
123	1,199	
124	41	
125	4,152,182	
126	4,218	
127	21,191	
128	53,143,168,256	
129	3,219	
130	2	
131	49,296	
132	61,248	
133	115	
134	91	
135	94	
136	4	
137	5	
138	4	
139	86	
140	25	
141	36	
142	6	
143	128	
144	62	
145	9	
146	97,164,205	
147	82,287	
148	97	
149	7	
150	72,245	
151	8	
152	125	
153	2	
154	100	
155	92	
156	56	
157	25,166	
158	62,162,295	
159	86	
160	49	
161	2	
162	158	
163	2	
164	146	
165	85	
166	157	
167	44,171	
168	128,216	
169	9	
170	5	
171	167	
172	83,250	
173	72,238,293	
174	9	
175	6	
176	61	
177	6	
178	100	
179	108,217,292	
180	9,268	
181	92,223,271	
182	125,286	
183	23,220,247	
184	98	
185	5	
186	29	
187	1	
188	91	
189	21	
190	6	
191	127	
192	25	
193	113	
194	3	
195	48	
196	64	
197	25	
198	32,288	
199	123	
200	25	
201	45	
202	32	
203	113,212,266	
204	7	
205	146	
206	65	
207	17	
208	6	
209	31	
210	75	
211	19	
212	203	
213	74	
214	2	
215	28	
216	168	
217	179	
218	126	
219	129	
220	183	
221	9	
222	3,258	
223	181,231	
224	21	
225	75	
226	12	
227	45,259	
228	112	
229	8	
230	32,251,279	
231	223	
232	38	
233	2	
234	53	
235	72	
236	97	
237	12	
238	173,283	
239	19,291	
240	21	
241	18	
242	78	
243	12	
244	61	
245	150	
246	37	
247	183	
248	132	
249	63	
250	172	
251	230	
252	23	
253	8,289	
254	11	
255	30	
256	128	
257	51	
258	222	
259	227	
260	21	
261	53	
262	20	
263	2	
264	8	
265	91	
266	203	
267	25	
268	180	
269	112	
270	121	
271	181	
272	75	
273	21	
274	79	
275	20	
276	30	
277	52	
278	21	
279	230	
280	8	
281	20	
282	21	
283	238	
284	2	
285	32	
286	182	
287	147	
288	198	
289	253	
290	104	
291	239	
292	179	
293	173	
294	29	
295	158	
296	131	
297	98	
298	43	
299	120	
